RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
234,"Justin Anderson, DAL",55,11.8,0.522,11.5,9.5,14.6,3.1,19.3,11.2,12.34,17.7,0.6
235,"Jose Calderon, NY",72,28.1,0.571,34.6,10.1,13.4,1.2,11,6.2,12.33,40.1,1.3
236,"Harrison Barnes, GS",66,30.9,0.559,13.5,6.6,14.9,4.3,12.4,8.6,12.32,55.5,1.8
237,"Kevin Garnett, MIN",38,14.6,0.491,30.7,7.9,11.6,3.2,27.9,15.7,12.28,6.5,0.2
238,"Allen Crabbe, POR",81,26,0.572,11.1,7.2,15.6,1.4,9.7,5.6,12.26,55.4,1.8
239,"Markieff Morris, PHX/WSH",64,25.5,0.489,11.9,13,25,4.8,19.3,11.9,12.25,18.3,0.6
240,"Andre Iguodala, GS",65,26.6,0.565,31.2,11.2,12.4,3.4,12.4,8.2,12.25,45.1,1.5
241,"Solomon Hill, IND",59,14.7,0.543,18,10.4,12.7,4.9,15.9,10.5,12.23,22.3,0.7
242,"Joe Johnson, MIA/BKN",81,33.4,0.538,22.7,11.4,18,2,10.2,6.1,12.01,61,2
243,"Charlie Villanueva, DAL",62,10.7,0.473,6.1,7.9,23,4,21.1,12.6,12.01,5,0.2
244,"Devin Booker, PHX",76,27.7,0.535,14.9,11.9,22.3,1.4,8.4,4.8,12,47.1,1.6
245,"Jonathon Simmons, SA",55,14.8,0.586,14.7,13.5,17.9,2.3,10.8,6.7,11.98,17.9,0.6
246,"DeMarre Carroll, TOR",26,30.2,0.49,7.8,8.1,17.2,4.6,13.1,8.9,11.94,16.9,0.6
247,"Raymond Felton, DAL",80,27.4,0.502,24.4,10.4,18.1,1.8,11.1,6.5,11.93,30.3,1
248,"Andrea Bargnani, BKN",46,13.8,0.5,5.2,7.5,21.4,4.9,12.4,8.6,11.89,0,0
249,"Aaron Brooks, CHI",69,16.1,0.494,23.7,10.8,23,2,7.5,4.8,11.87,14.5,0.5
250,"Leandro Barbosa, GS",68,15.9,0.545,15.4,10,17.1,3,8.4,5.8,11.81,21.1,0.7
251,"Tim Hardaway Jr., ATL",51,16.9,0.563,14,6.3,15.1,0.9,9.8,5.4,11.71,15.6,0.5
252,"Matt Barnes, MEM",76,28.8,0.503,15.7,11.7,17.4,4.2,18.3,10.9,11.71,39.4,1.3
253,"Trey Lyles, UTAH",80,17.3,0.517,9.9,10.9,16.9,5,20.2,12.6,11.7,4,0.1
254,"Jared Dudley, WSH",81,25.9,0.602,21.8,10.3,12.4,2.8,12.6,7.6,11.69,37.3,1.2
255,"Langston Galloway, NY",82,24.8,0.49,22.8,6.7,15.5,2.3,13,7.7,11.69,36.2,1.2
256,"Luke Babbitt, NO",47,18,0.526,13.7,5.9,16.5,3.2,16.7,9.7,11.6,13.8,0.5
257,"Ian Clark, GS",66,8.8,0.544,19.8,13.3,18.8,2.6,9.7,6.3,11.57,9.2,0.3
258,"Courtney Lee, MEM/CHA",79,29.5,0.551,15.1,8,14.7,1.4,8.7,4.9,11.55,36.6,1.2
259,"Kevin Martin, MIN/SA",55,19.9,0.52,9.6,8.9,21.8,1.5,10,5.8,11.52,16.7,0.6
260,"Josh Richardson, MIA",52,21.3,0.569,17.9,8.6,13.3,2.2,8.5,5.5,11.48,16.2,0.5
261,"E'Twaun Moore, CHI",59,21.4,0.548,17.8,9.5,15.5,1.6,9.3,5.5,11.43,17.5,0.6
262,"James Johnson, TOR",57,16.2,0.532,17.1,13.8,15.4,3.5,11.9,7.8,11.41,-1.2,0
263,"Glenn Robinson III, IND",45,11.3,0.508,12.3,8.5,15.2,2.6,12,7.3,11.39,6.8,0.2
264,"Meyers Leonard, POR",61,21.9,0.561,14.7,12.3,16.9,4.1,21.4,12.8,11.36,-2.8,-0.1
265,"Marcus Smart, BOS",61,27.3,0.463,21.3,9.2,17.3,4.8,11.6,8.1,11.34,8.5,0.3
266,"Donatas Motiejunas, HOU",37,14.8,0.504,13.1,14,20.5,7.4,14.6,11,11.34,-1.3,0
267,"Matthew Dellavedova, CLE",76,24.6,0.527,33.9,11.7,16.9,2,7.8,4.9,11.31,8.8,0.3
268,"Markel Brown, BKN",62,15.8,0.5,17.9,10.6,18.4,2.6,11.5,7,11.31,11.9,0.4
269,"Tyus Jones, MIN",37,15.5,0.45,34.4,10.5,17,1.4,8,4.8,11.28,2.4,0.1
270,"Roy Hibbert, LAL",81,23.2,0.507,14.7,11.8,12.4,7.3,15.8,11.4,11.24,17.9,0.6
271,"Nemanja Bjelica, MIN",60,17.9,0.594,21.3,12.1,12.5,5.4,17.2,11.4,11.23,-4.3,-0.1
272,"Jerian Grant, NY",76,16.6,0.479,25,12.3,19.1,2,10.2,6.2,11.2,3.8,0.1
273,"Archie Goodwin, PHX",57,19.5,0.498,16.3,13.8,22.6,2.6,11.5,6.9,11.16,10.9,0.4
274,"Austin Rivers, LAC",67,21.9,0.523,13.6,8.4,18.1,1.7,7.9,4.8,11.15,3.2,0.1
275,"Isaiah Canaan, PHI",77,25.5,0.528,13.3,8.8,18.7,1.1,8.8,4.8,11.1,2.8,0.1
276,"Sasha Vujacic, NY",61,14.9,0.503,19.9,10.4,16.5,3.2,14.6,9,11.1,8.1,0.3
277,"Wesley Johnson, LAC",80,20.8,0.513,7.7,8.5,14.6,2.5,13.6,8.1,11.05,13.6,0.5
278,"Omer Asik, NO",68,17.3,0.551,7.9,18.2,10.5,10.9,28.7,19.5,11.02,7.4,0.2
279,"Doug McDermott, CHI",81,23,0.561,7.4,6.7,16.2,2.1,8.8,5.5,10.99,13.5,0.5
280,"Arron Afflalo, NY",71,33.4,0.531,13.3,7.6,17,1.1,11,6.1,10.98,16.9,0.6
281,"Wesley Matthews, DAL",78,33.9,0.532,13.2,6.8,16.1,1.1,8.8,4.9,10.91,16.2,0.5
282,"PJ Tucker, PHX",82,31,0.506,19,11.9,12.5,6.9,15.2,10.9,10.85,13.3,0.4
283,"Norris Cole, NO",45,26.6,0.465,22.1,9.9,21.3,0.9,13.5,7,10.85,-2.7,-0.1
284,"Kevin Seraphin, NY",48,11,0.435,15.4,14.1,21.3,6.5,19.5,13.1,10.84,1.9,0.1
285,"Bojan Bogdanovic, BKN",79,26.8,0.55,9.7,11.3,18.2,1.9,11.8,6.8,10.79,9.2,0.3
286,"Anthony Morrow, OKC",68,13.6,0.543,6.1,4.3,16,1.2,5.8,3.6,10.74,3.3,0.1
287,"Chase Budinger, IND/PHX",66,14.1,0.514,17.2,11.8,14.3,5,12.6,8.8,10.73,3.2,0.1
288,"Tyler Ennis, MIL",46,14.2,0.51,27.7,13.4,17.4,2.3,10.7,6.6,10.7,-2.9,-0.1
289,"Josh Smith, HOU/LAC",55,16,0.439,16.5,14.1,21.6,6.4,17.5,12,10.62,0.2,0
290,"Patrick Patterson, TOR",79,25.6,0.534,14.1,9.7,12.3,4.4,14.8,9.7,10.61,-27,-0.9
291,"Danny Green, SA",79,26.1,0.492,17.7,9.4,14,2.7,13.6,8.4,10.49,-0.2,0
292,"Lance Thomas, NY",59,22.3,0.557,9.7,10.5,15.9,2.9,8,5.4,10.45,-1,0
293,"Marcelo Huertas, LAL",53,16.4,0.488,36.1,15.8,17.7,2.2,9.2,5.6,10.38,-8,-0.3
294,"Joe Ingles, UTAH",81,15.3,0.572,20.9,14.1,13.4,1.8,12.4,7.1,10.38,-2.3,-0.1
295,"Jonas Jerebko, BOS",78,15.1,0.531,14.3,12,13,6.8,19.4,13,10.32,-20.8,-0.7
296,"Raul Neto, UTAH",81,18.5,0.53,23.8,14.9,17.3,1.3,8,4.7,10.28,-16.2,-0.5
297,"Anthony Tolliver, DET",72,18.6,0.543,12,6.5,12,3.1,16.1,9.3,10.26,-24.8,-0.8
298,"Andre Roberson, OKC",70,22.2,0.566,12.4,9.2,8.9,5.9,11.4,8.8,10.23,-6.3,-0.2
299,"Jason Terry, HOU",72,17.5,0.54,19,9,14.8,1.2,5.7,3.5,10.22,-5.3,-0.2
300,"Pablo Prigioni, LAC",59,13.9,0.482,39.5,14.9,11.8,5.1,9.9,7.5,10.22,-9.6,-0.3
301,"Wayne Ellington, BKN",76,21.3,0.498,11.6,6.3,16.5,1.4,10.9,6.1,10.19,-7.4,-0.2
302,"Gerald Green, MIA",69,22.6,0.491,7.7,6.3,18.2,1.9,9.7,5.9,10.15,-8.1,-0.3
303,"Brandon Rush, GS",72,14.7,0.56,15.7,9.1,11.9,2.3,15.4,9.2,10.12,-6,-0.2
304,"Josh McRoberts, MIA",42,14.2,0.453,29.3,10.8,15.3,4.3,15.3,10,9.97,-13.6,-0.5
305,"Corey Brewer, HOU",82,20.4,0.481,13.6,9.7,17.1,2.8,10.4,6.6,9.97,-13.3,-0.4
306,"Emmanuel Mudiay, DEN",68,30.4,0.437,23.5,13.7,25.9,1.7,10.9,6.2,9.96,-32,-1.1
307,"Steve Blake, DET",58,17,0.51,37.8,15.3,16.2,1,9.2,4.9,9.81,-17.5,-0.6
308,"Kyle Korver, ATL",80,30,0.578,18.2,10.9,13,0.7,10.9,5.9,9.78,-25.8,-0.9
309,"Richard Jefferson, CLE",74,17.9,0.585,13,9.5,12.8,1.3,9.6,5.5,9.73,-15.3,-0.5
310,"Ty Lawson, HOU/IND",66,21.4,0.476,32.7,13.1,15.5,2,7.4,4.7,9.72,-26.9,-0.9
311,"Shabazz Napier, ORL",55,10.9,0.46,26.7,12.6,19.9,1.6,8.6,5.1,9.62,-12.3,-0.4
312,"Ronnie Price, PHX",62,19.5,0.517,27.4,13,14.1,2.2,6.8,4.4,9.62,-25,-0.8
313,"Beno Udrih, MIA/MEM",44,16.1,0.496,30.9,14.1,16.2,1.3,10.1,5.8,9.54,0,0
314,"Jameer Nelson, DEN",39,26.6,0.464,32.8,11.4,17.4,2,10.4,6.2,9.53,-22.8,-0.8
315,"Marco Belinelli, SAC",68,24.6,0.5,14.1,8.9,18.8,0.7,6.9,3.8,9.49,-25.2,-0.8
316,"Mario Hezonja, ORL",79,17.9,0.541,16.8,15,16.3,2.2,11.8,6.9,9.49,-21.3,-0.7
317,"Justin Holiday, ATL/CHI",53,14.6,0.489,16.5,11.5,14.1,1.7,10.5,6.2,9.43,-12.4,-0.4
318,"Dion Waiters, OKC",78,27.6,0.492,14.7,11.4,17.4,1.9,8,5.1,9.39,-35.6,-1.2
319,"Garrett Temple, WSH",80,24.4,0.52,18.3,8.4,13.4,2,10.3,6.1,9.29,-35.4,-1.2
320,"Hollis Thompson, PHI",77,28,0.525,11,8.5,15.1,2.6,11.4,6.9,9.24,-40.4,-1.3
321,"Nik Stauskas, PHI",73,24.8,0.517,16.6,11.3,15.9,1.3,10,5.5,9.22,-34.6,-1.2
322,"Nick Young, LAL",54,19.1,0.483,7.2,6.4,17.3,1.4,9,5.1,9.13,-21.1,-0.7
323,"Mike Dunleavy, CHI",31,22.7,0.543,14.5,9.7,13.8,1.2,11,6.2,9.09,-14.8,-0.5
324,"Stanley Johnson, DET",73,23.1,0.46,13.5,13,19.1,3.6,16.7,9.9,8.73,-44.5,-1.5
325,"Ben McLemore, SAC",68,21.2,0.531,11.6,14.6,16.6,2.6,8.5,5.6,8.67,-39.4,-1.3
326,"Dante Cunningham, NO",80,24.6,0.54,13.6,7.2,10.4,3.1,10.4,6.6,8.63,-84.4,-2.8
327,"Noah Vonleh, POR",78,15.1,0.471,7.9,13.1,12.3,8.4,19.8,14.1,8.63,-50.4,-1.7
328,"C.J. Watson, ORL",33,19.9,0.461,32.9,9.4,12.7,1.7,9.6,5.6,8.59,-23.6,-0.8
329,"Iman Shumpert, CLE",54,24.4,0.475,19.3,12,13,2.8,14.6,8.7,8.48,-39.7,-1.3
330,"Alonzo Gee, NO",73,22.4,0.572,17.5,13.4,8.8,3.9,13,8.3,8.45,-50,-1.7
331,"Justise Winslow, MIA",78,28.6,0.489,16.2,13.1,11.9,4.2,15.8,10.2,8.42,-69.4,-2.3
332,"JaKarr Sampson, DEN/PHI",73,15.9,0.504,9.5,14.4,12.8,4.2,14,9,8.34,-37.4,-1.2
333,"Metta World Peace, LAL",35,16.9,0.435,11.1,6.1,15.3,3.4,13.2,8.1,8.33,-19.1,-0.6
334,"Paul Pierce, LAC",68,18.1,0.489,12.8,10.5,16.5,1.1,15.2,8.2,8.29,-40.6,-1.4
335,"Kelly Oubre Jr., WSH",63,10.7,0.507,4.7,12.2,15.7,4.1,18.4,11.1,8.25,-22.5,-0.8
336,"Chris Johnson, UTAH",70,12.2,0.482,15.1,13.4,13.1,3.7,14.3,9,8.2,-29.5,-1
337,"Nick Collison, OKC",59,11.8,0.498,23.1,22.2,10.8,11.2,15.2,13.3,7.75,-39.2,-1.3
338,"O.J. Mayo, MIL",41,26.6,0.474,22.3,13.6,16.8,1.4,9.6,5.5,7.73,-45.1,-1.5
339,"Randy Foye, DEN/OKC",81,20.3,0.461,21.1,11.3,16.8,1.6,8.8,5.2,7.6,-71.2,-2.4
340,"Johnny O'Bryant III, MIL",66,13,0.441,11.1,10.7,12.7,8.7,14.7,11.7,7.46,-51.7,-1.7
341,"Luc Mbah a Moute, LAC",75,17,0.498,10.1,11.5,8.7,5.2,9.4,7.3,7.28,-80.3,-2.7
342,"Kirk Hinrich, ATL/CHI",46,13.7,0.504,30.5,12.6,9.7,1.4,10.2,5.9,7.2,-31.1,-1
343,"P.J. Hairston, MEM/CHA",66,19.9,0.47,7.4,8,17.7,2.1,12.8,7.3,6.93,-69.9,-2.3
344,"Kyle Singler, OKC",68,14.4,0.481,8.1,10.8,11.3,5.9,9.6,7.9,6.68,-55.8,-1.9
345,"Tony Snell, CHI",64,20.3,0.478,13.4,11.1,13.1,1.6,14.3,8.1,6.47,-78.2,-2.6
346,"Tayshaun Prince, MIN",77,19,0.466,21.9,8,7.9,2.6,9,5.8,6.37,-90,-3
347,"Kendrick Perkins, NO",37,14.6,0.529,19.6,25.9,10.1,4.9,21.8,13.1,6.05,-36.8,-1.2
348,"James Anderson, SAC",51,14.1,0.469,15,15.3,13.1,2,10.9,6.5,6.02,-48.2,-1.6
349,"Anthony Brown, LAL",29,20.7,0.427,11.3,8.9,10.4,1.6,11.3,6.3,4.95,-49.7,-1.7
350,"Rashad Vaughn, MIL",70,14.3,0.398,11.5,8.2,12.7,1.3,8.7,5,4.25,-93.4,-3.1
